inoperable-privately-owned-vehicle-charge,en,Inoperable Privately Owned Vehicle Charge
inland-transportation,en,Inland Transportation
initial-license-fee,en,Initial License Fee
industry-price-allowance,en,Industry Price Allowance
incorrect-billing-account-charge,en,Incorrect Billing Account Charge
income-freight-manufacturing-to-shipping-point,en,Income Freight (Manufacturing to Shipping Point)
inbound-freight-charges,en,Inbound Freight Charges
inaccessible-hazardous-material,en,Inaccessible Hazardous Material
improper-documentation,en,Improper Documentation
import-service-fee,en,Import Service Fee
impactographs,en,Impactographs
idler-car-charge,en,Idler Car Charge
icing-inhibitor-charge,en,Icing Inhibitor Charge
iata-fee,en,IATA Fee
iata-airbill-preparation,en,IATA Airbill Preparation
household-goods-pick-up-or-delivery,en,Household Goods Pick-up or Delivery
hose-charge-special,en,Hose Charge Special
hose-charge,en,Hose Charge
hook-up-charge,en,Hook-up charge
home-line-freight-charge,en,Home Line Freight Charge
holding-charge,en,Holding Charge
highway-interchange,en,Highway Interchange
